source_entity,source_category,target_entity,target_category,relationship_strength,relationship_type
Concentrated Solar Power,TECHNOLOGY_TYPE,Zero Emission Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Concentrated Solar Power,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Floating Solar,TECHNOLOGY_TYPE,Zero Emission Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Floating Solar,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Perovskite Solar Cells,TECHNOLOGY_TYPE,Zero Emission Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Perovskite Solar Cells,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Solar Pv,TECHNOLOGY_TYPE,Zero Emission Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Solar Pv,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Solar Thermal,TECHNOLOGY_TYPE,Zero Emission Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Solar Thermal,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Silicon Solar Cells,EQUIPMENT_COMPONENT,Zero Emission Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Silicon Solar Cells,EQUIPMENT_COMPONENT,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Offshore Wind,TECHNOLOGY_TYPE,Green Shipping,TRANSPORT_MODE,0.9,energy_to_transport
Offshore Wind,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Onshore Wind,TECHNOLOGY_TYPE,Green Shipping,TRANSPORT_MODE,0.9,energy_to_transport
Onshore Wind,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Wind Power,TECHNOLOGY_TYPE,Green Shipping,TRANSPORT_MODE,0.9,energy_to_transport
Wind Power,TECHNOLOGY_TYPE,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Wind Turbine Components,EQUIPMENT_COMPONENT,Green Shipping,TRANSPORT_MODE,0.9,energy_to_transport
Wind Turbine Components,EQUIPMENT_COMPONENT,Aerodynamic Devices,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
Green Hydrogen,TECHNOLOGY_TYPE,Alternative Fuel Vehicles,TRANSPORT_MODE,0.9,energy_to_transport
Grid Integration,TECHNOLOGY_TYPE,Smart Traffic Management,EFFICIENCY_TECHNOLOGY,0.9,energy_to_transport
